Glyma_ID	Description	Initial_protein_contentAmb	Initial_protein_contentEle	mRNA_ele	mRNA_Amb	Ele:Amb	EleMutant:Amb	AmbMutant:Amb
Glyma.04G209900	"PPD2, Chloro"	1.346985	1.018580035	1.018580035	1.346985	0.86855	0.860385912	1.000338322
Glyma.04G215800	"PSAN, Chloro"	0.829305	0.702417889	0.702417889	0.829305	0.84596	0.84710036	1.001325738
Glyma.04G241000	"PPD4, Chloro"	1.346985	0.866608081	0.866608081	1.346985	0.8021	0.802102717	1
Glyma.04G242000	Thioredoxin	5.85	5.520602452	5.520602452	5.85	0.97144	0.971438483	1
Glyma.04G249700	"PSBS, Chloro"	1.26036	1.263317599	1.263317599	1.26036	1.00117	1.001172632	1.000000025
Glyma.05G022900	"PSAIII, Chloro"	1.087785	0.685685779	0.685685779	1.087785	0.79395	0.79394613	1
Glyma.05G025300	Ru5PE	0.038732394	0.024497293	0.024497293	0.038732394	0.79528	0.795283327	1
Glyma.05G048000	F-ATPase	1.327272727	1.095663639	1.095663639	1.327272727	0.90857	0.908570307	1
Glyma.05G112100	FDXC2	0.88695	0.606989045	0.606989045	0.88695	0.82726	0.827257775	1
Glyma.05G132600	"Thioredoxin O1, Mito"	5.85	4.882993514	4.882993514	5.85	0.91362	0.913619038	1
Glyma.05G149400	CAB	1.27908	0.757622718	0.757622718	1.27908	0.76962	0.769622295	1
Glyma.06G017900	GO	0.001346901	0.001253674	0.001253674	0.001346901	0.96477	0.964771514	1
Glyma.06G094300	G6PI	0.039783002	0.049825221	0.049825221	0.039783002	1.11912	1.119117897	1
Glyma.06G323700	SPS	0.041627585	0.072052887	0.072052887	0.041627585	1.31563	1.31563399	1
Glyma.07G019700	"PSAVI-1, Chloro"	0.69345	0.591096133	0.591096133	0.69345	0.92325	0.923254606	1
Glyma.07G028500	Diphosphatase	0.15796129	0.211354179	0.211354179	0.15796129	1.15672	1.156724898	1
Glyma.07G142700	FBPase	5.281887818	4.414585373	4.414585373	5.281887818	0.91422	0.849582907	0.928042594
Glyma.08G044100	"PGM, Cyto"	0.165829146	0.214437833	0.214437833	0.165829146	1.13716	1.137156591	1
Glyma.08G074000	CAB	1.27908	0.482336519	0.482336519	1.27908	0.61408	0.614081655	1.000000005
Glyma.08G087100	"Thioredoxin O1, Mito"	5.85	2.953705067	2.953705067	5.85	0.71057	0.710567976	1
Glyma.08G088000	TRX	1.863	1.653993852	1.653993852	1.863	0.94224	0.942237789	1
Glyma.08G097300	GO	0.99961711	1.328996635	1.328996635	0.99961711	1.15304	1.153041929	1
Glyma.08G126800	"FDX1, Chloro"	0.88695	0.842497172	0.842497172	0.88695	0.97462	0.974618514	1
Glyma.08G165400	PGK	2.5117348	2.72759739	2.72759739	2.5117348	1.04209	1.042085233	1
Glyma.08G165500	PGK	2.5117348	2.346879313	2.346879313	2.5117348	0.96663	0.902862855	0.933557571
Glyma.08G173700	"PSBR, Chloro"	0.65637	0.638717136	0.638717136	0.65637	0.98646	0.986461006	1
Glyma.08G302600	SGAT	3.578866379	3.365587497	3.365587497	3.578866379	0.96975	0.969745339	1
Glyma.09G087700	"PSAK, Chloro"	0.59427	0.461413038	0.461413038	0.59427	0.88116	0.881156456	1
Glyma.09G154700	"CAB26, Chloro"	1.27908	0.951294693	0.951294693	1.27908	0.8624	0.862399871	1
Glyma.09G250800	"PSAXI, Chloro"	1.032165	0.681551407	0.681551407	1.032165	0.8126	0.812596122	1
Glyma.09G255200	HPR	0.553026581	0.594500599	0.594500599	0.553026581	1.03682	1.036819473	1
Glyma.10G042000	"PSAIV-A, Chloro"	0.695565	0.638385201	0.638385201	0.695565	0.95802	0.95801552	1
Glyma.10G086600	SPP	0.026641654	0.036772905	0.036772905	0.026641654	1.17485	1.174852588	1
Glyma.10G161600	TRP26	5.85	5.381113888	5.381113888	5.85	0.95909	0.959087341	1
Glyma.10G210700	PGM	0.165829146	0.113547014	0.113547014	0.165829146	0.82748	0.82747985	1
Glyma.10G249000	"PSAII-1, Chloro"	0.241695	0.218963241	0.218963241	0.241695	0.95181	0.951813309	1
Glyma.10G268500	Aldolase	1.312651261	1.717945896	1.717945896	1.312651261	1.14401	1.292916549	1.157887695
Glyma.10G293500	Transketolase	7.23992103	6.659257767	6.659257767	7.23992103	0.95906	0.891670763	0.927916767
Glyma.11G100800	"HCF136, Chloro"	0.12852	0.104382643	0.104382643	0.12852	0.90122	0.901215777	1
Glyma.11G169700	PFK	0.007142857	0.006488433	0.006488433	0.007142857	0.95309	0.953090047	1
Glyma.11G226900	SBPase	0.264155289	0.254390311	0.254390311	0.264155289	0.98134	0.981342545	1
Glyma.12G199400	PET	0.7075224	0.660848732	0.660848732	0.7075224	0.96645	0.966453434	1
Glyma.12G202500	"PSB27-1, Chloro"	0.847575	0.442078381	0.442078381	0.847575	0.72093	0.710443238	1.000265209
Glyma.12G215100	"PSBQ Like - 2, Chloro"	1.118385	0.652923277	0.652923277	1.118385	0.76407	0.764073978	1
Glyma.13G028200	psbA	1.752165	1.416192719	1.416192719	1.752165	0.9028	0.903810132	1.037342494
Glyma.13G204800	APTC1	2.781818182	2.212152912	2.212152912	2.781818182	0.89175	0.891750171	1
Glyma.13G222300	GHMT	37.42118172	46.64974598	46.64974598	37.42118172	1.11652	1.116518421	1
Glyma.14G067000	"RCA, Chloro"	1.2	0.971066061	0.971066061	1.2	0.89957	0.899567517	1
Glyma.15G012500	GLK	1.343210077	0.952027569	0.952027569	1.343210077	0.84189	0.841885039	1
Glyma.15G114600	Cytochrome B	2.0124	1.625512577	1.625512577	2.0124	0.89875	0.898748157	1
Glyma.15G136200	Ri5PI	0.077034884	0.064798538	0.064798538	0.077034884	0.91715	0.917146868	1
Glyma.16G168000	FBPase	0.465302167	0.395812911	0.395812911	0.465302167	0.92231	0.857731084	0.929830579
Glyma.17G015600	AGPase	0.102632112	0.100289833	0.100289833	0.102632112	0.98852	0.988523097	1
Glyma.19G017200	"G6PI, Cyto"	1.727272727	0.970755903	0.970755903	1.727272727	0.74968	0.749677648	1
Glyma.19G022900	SS	0.102632112	0.070707018	0.070707018	0.102632112	0.83002	0.734908009	0.881138977
Glyma.19G046800	RuBisCO	107.0869611	95.42820347	95.42820347	107.0869611	0.944	0.943995832	1
Glyma.19G089100	PRK	4.815447396	6.327979294	6.327979294	4.815447396	1.14634	1.146341997	1
Glyma.19G251000	"VDE, Chloro"	0.163	0.095991709	0.095991709	0.163	0.7674	0.767402235	1
